breed_name,type
Sealyham Terrier,dog
Setter,dog
Shar-Pei,dog
Sheep Dog,dog
Shepherd,dog
Shetland Sheepdog / Sheltie,dog
Shiba Inu,dog
Shih Tzu,dog
Siberian Husky,dog
Silky Terrier,dog
Skye Terrier,dog
Sloughi,dog
Smooth Collie,dog
Smooth Fox Terrier,dog
South Russian Ovtcharka,dog
Spaniel,dog
Spanish Water Dog,dog
Spinone Italiano,dog
Spitz,dog
Staffordshire Bull Terrier,dog
Standard Poodle,dog
Standard Schnauzer,dog
Sussex Spaniel,dog
Swedish Vallhund,dog
Terrier,dog
Thai Ridgeback,dog
Tibetan Mastiff,dog
Tibetan Spaniel,dog
Tibetan Terrier,dog
Tosa Inu,dog
Toy Fox Terrier,dog
Toy Manchester Terrier,dog
Treeing Walker Coonhound,dog
Vizsla,dog
Weimaraner,dog
Welsh Springer Spaniel,dog
Welsh Terrier,dog
West Highland White Terrier / Westie,dog
Wheaten Terrier,dog
Whippet,dog
White German Shepherd,dog
Wire Fox Terrier,dog
Wirehaired Dachshund,dog
Wirehaired Pointing Griffon,dog
Wirehaired Terrier,dog
Xoloitzcuintli / Mexican Hairless,dog
Yellow Labrador Retriever,dog
Yorkshire Terrier,dog
